filename,leafNum,handSide,page,sectiontype,sectiontitle,fileUrl
lawsresolutionso1891nort_0697,697,RIGHT,649,public laws,Public Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_0697.jpg
lawsresolutionso1891nort_0715,715,RIGHT,667,private laws,Private Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_0715.jpg
lawsresolutionso1891nort_0716,716,LEFT,668,private laws,Private Laws of the State of North Carolina Session 1891,https://archive.org/download/lawsresolutionso1891nort/lawsresolutionso1891nort_jp2.zip/lawsresolutionso1891nort_jp2%2Flawsresolutionso1891nort_0716.jpg
