file,angle,side,cut,backR,backG,backB,bbox1,bbox2,bbox3,bbox4
lawsresolutionso1891nort_0697.jp2,0.0,right,1470,214,197,169,52,316,1522,1570
lawsresolutionso1891nort_0697.jp2,-0.75,right,1485,206,185,154,50,427,1535,3153
lawsresolutionso1891nort_0697.jp2,0.0,left,350,225,205,176,494,352,1980,2972
